species_name,genome_file_name,cds_file_name,original_name,source
encephalitozoon_cuniculi,encephalitozoon_cuniculi_genomic.fna,encephalitozoon_cuniculi_cds.fna,encephalitozoon_cuniculi,ncbi
rhizopus_delemar,rhizopus_delemar_genomic.fna,rhizopus_delemar_cds.fna,rhizopus_delemar,ncbi
serpula_lacrymans,serpula_lacrymans_genomic.fna,serpula_lacrymans_cds.fna,serpula_lacrymans,ncbi
agaricus_bisporus,agaricus_bisporus_genomic.fna,agaricus_bisporus_cds.fna,agaricus_bisporus,ncbi
verticillium_dahliae,verticillium_dahliae_genomic.fna,verticillium_dahliae_cds.fna,verticillium_dahliae,ncbi
saccharomyces_pastorianus,saccharomyces_pastorianus_genomic.fna,saccharomyces_pastorianus_cds.fna,saccharomyces_pastorianus,ncbi
coccidioides_immitis,coccidioides_immitis_genomic.fna,coccidioides_immitis_cds.fna,coccidioides_immitis,ncbi
blastomyces_dermatitidis,blastomyces_dermatitidis_genomic.fna,blastomyces_dermatitidis_cds.fna,blastomyces_dermatitidis,ncbi
histoplasma_capsulatum,histoplasma_capsulatum_genomic.fna,histoplasma_capsulatum_cds.fna,histoplasma_capsulatum,ncbi
penicillium_oxalicum,penicillium_oxalicum_genomic.fna,penicillium_oxalicum_cds.fna,penicillium_oxalicum,ncbi
kwoniella_mangrovensis,kwoniella_mangrovensis_genomic.fna,kwoniella_mangrovensis_cds.fna,kwoniella_mangrovensis,ncbi
drepanopeziza_brunnea,drepanopeziza_brunnea_genomic.fna,drepanopeziza_brunnea_cds.fna,drepanopeziza_brunnea,ncbi
penicillium_digitatum,penicillium_digitatum_genomic.fna,penicillium_digitatum_cds.fna,penicillium_digitatum,ncbi
rhodotorula_toruloides,rhodotorula_toruloides_genomic.fna,rhodotorula_toruloides_cds.fna,rhodotorula_toruloides,ncbi
brettanomyces_bruxellensis,brettanomyces_bruxellensis_genomic.fna,brettanomyces_bruxellensis_cds.fna,brettanomyces_bruxellensis,ncbi
puccinia_triticina,puccinia_triticina_genomic.fna,puccinia_triticina_cds.fna,puccinia_triticina,ncbi
botrytis_cinerea,botrytis_cinerea_genomic.fna,botrytis_cinerea_cds.fna,botrytis_cinerea,ncbi
schizophyllum_commune,schizophyllum_commune_genomic.fna,schizophyllum_commune_cds.fna,schizophyllum_commune,ncbi
yarrowia_lipolytica,yarrowia_lipolytica_genomic.fna,yarrowia_lipolytica_cds.fna,yarrowia_lipolytica,ncbi
trichophyton_interdigitale,trichophyton_interdigitale_genomic.fna,trichophyton_interdigitale_cds.fna,trichophyton_interdigitale,ncbi
aspergillus_luchuensis,aspergillus_luchuensis_genomic.fna,aspergillus_luchuensis_cds.fna,aspergillus_luchuensis,ncbi
umbelopsis_isabellina,umbelopsis_isabellina_genomic.fna,umbelopsis_isabellina_cds.fna,umbelopsis_isabellina,ncbi
komagataella_phaffii,komagataella_phaffii_genomic.fna,komagataella_phaffii_cds.fna,komagataella_phaffii,ncbi
amanita_muscaria,amanita_muscaria_genomic.fna,amanita_muscaria_cds.fna,amanita_muscaria,ncbi
rhizophagus_irregularis,rhizophagus_irregularis_genomic.fna,rhizophagus_irregularis_cds.fna,rhizophagus_irregularis,ncbi
nadsonia_fulvescens,nadsonia_fulvescens_genomic.fna,nadsonia_fulvescens_cds.fna,nadsonia_fulvescens,ncbi
serendipita_vermifera,serendipita_vermifera_genomic.fna,serendipita_vermifera_cds.fna,serendipita_vermifera,ncbi
colletotrichum_gloeosporioides,colletotrichum_gloeosporioides_genomic.fna,colletotrichum_gloeosporioides_cds.fna,colletotrichum_gloeosporioides,ncbi
lentinus_tigrinus,lentinus_tigrinus_genomic.fna,lentinus_tigrinus_cds.fna,lentinus_tigrinus,ncbi
cryptococcus_depauperatus,cryptococcus_depauperatus_genomic.fna,cryptococcus_depauperatus_cds.fna,cryptococcus_depauperatus,ncbi
cryptococcus_amylolentus,cryptococcus_amylolentus_genomic.fna,cryptococcus_amylolentus_cds.fna,cryptococcus_amylolentus,ncbi
kwoniella_heveanensis,kwoniella_heveanensis_genomic.fna,kwoniella_heveanensis_cds.fna,kwoniella_heveanensis,ncbi
trichosporon_asahii,trichosporon_asahii_genomic.fna,trichosporon_asahii_cds.fna,trichosporon_asahii,ncbi
cyberlindnera_jadinii,cyberlindnera_jadinii_genomic.fna,cyberlindnera_jadinii_cds.fna,cyberlindnera_jadinii,ncbi
aureobasidium_pullulans,aureobasidium_pullulans_genomic.fna,aureobasidium_pullulans_cds.fna,aureobasidium_pullulans,ncbi
fusarium_fujikuroi,fusarium_fujikuroi_genomic.fna,fusarium_fujikuroi_cds.fna,fusarium_fujikuroi,ncbi
pyricularia_grisea,pyricularia_grisea_genomic.fna,pyricularia_grisea_cds.fna,pyricularia_grisea,ncbi
daldinia_eschscholtzii,daldinia_eschscholtzii_genomic.fna,daldinia_eschscholtzii_cds.fna,daldinia_eschscholtzii,ncbi
exserohilum_turcicum,exserohilum_turcicum_genomic.fna,exserohilum_turcicum_cds.fna,exserohilum_turcicum,ncbi
candida_orthopsilosis,candida_orthopsilosis_genomic.fna,candida_orthopsilosis_cds.fna,candida_orthopsilosis,ncbi
glarea_lozoyensis,glarea_lozoyensis_genomic.fna,glarea_lozoyensis_cds.fna,glarea_lozoyensis,ncbi
pochonia_chlamydosporia,pochonia_chlamydosporia_genomic.fna,pochonia_chlamydosporia_cds.fna,pochonia_chlamydosporia,ncbi
kluyveromyces_marxianus,kluyveromyces_marxianus_genomic.fna,kluyveromyces_marxianus_cds.fna,kluyveromyces_marxianus,ncbi
sporisorium_reilianum,sporisorium_reilianum_genomic.fna,sporisorium_reilianum_cds.fna,sporisorium_reilianum,ncbi
cronartium_quercuum,cronartium_quercuum_genomic.fna,cronartium_quercuum_cds.fna,cronartium_quercuum,ncbi
neurospora_tetrasperma,neurospora_tetrasperma_genomic.fna,neurospora_tetrasperma_cds.fna,neurospora_tetrasperma,ncbi
wickerhamomyces_anomalus,wickerhamomyces_anomalus_genomic.fna,wickerhamomyces_anomalus_cds.fna,wickerhamomyces_anomalus,ncbi
bipolaris_maydis,bipolaris_maydis_genomic.fna,bipolaris_maydis_cds.fna,bipolaris_maydis,ncbi
epichloe_festucae,epichloe_festucae_genomic.fna,epichloe_festucae_cds.fna,epichloe_festucae,ncbi
pseudogymnoascus_destructans,pseudogymnoascus_destructans_genomic.fna,pseudogymnoascus_destructans_cds.fna,pseudogymnoascus_destructans,ncbi
beauveria_bassiana,beauveria_bassiana_genomic.fna,beauveria_bassiana_cds.fna,beauveria_bassiana,ncbi
trichoderma_virens,trichoderma_virens_genomic.fna,trichoderma_virens_cds.fna,trichoderma_virens,ncbi
postia_placenta,postia_placenta_genomic.fna,postia_placenta_cds.fna,postia_placenta,ncbi
talaromyces_marneffei,talaromyces_marneffei_genomic.fna,talaromyces_marneffei_cds.fna,talaromyces_marneffei,ncbi
parastagonospora_nodorum,parastagonospora_nodorum_genomic.fna,parastagonospora_nodorum_cds.fna,parastagonospora_nodorum,ncbi
batrachochytrium_dendrobatidis,batrachochytrium_dendrobatidis_genomic.fna,batrachochytrium_dendrobatidis_cds.fna,batrachochytrium_dendrobatidis,ncbi
aspergillus_flavus,aspergillus_flavus_genomic.fna,aspergillus_flavus_cds.fna,aspergillus_flavus,ncbi
puccinia_graminis,puccinia_graminis_genomic.fna,puccinia_graminis_cds.fna,puccinia_graminis,ncbi
paracoccidioides_brasiliensis,paracoccidioides_brasiliensis_genomic.fna,paracoccidioides_brasiliensis_cds.fna,paracoccidioides_brasiliensis,ncbi
trichoderma_reesei,trichoderma_reesei_genomic.fna,trichoderma_reesei_cds.fna,trichoderma_reesei,ncbi
clavispora_lusitaniae,clavispora_lusitaniae_genomic.fna,clavispora_lusitaniae_cds.fna,clavispora_lusitaniae,ncbi
debaryomyces_hansenii,debaryomyces_hansenii_genomic.fna,debaryomyces_hansenii_cds.fna,debaryomyces_hansenii,ncbi
eremothecium_gossypii,eremothecium_gossypii_genomic.fna,eremothecium_gossypii_cds.fna,eremothecium_gossypii,ncbi
naumovozyma_castellii,naumovozyma_castellii_genomic.fna,naumovozyma_castellii_cds.fna,naumovozyma_castellii,ncbi
aspergillus_terreus,aspergillus_terreus_genomic.fna,aspergillus_terreus_cds.fna,aspergillus_terreus,ncbi
collybiopsis_luxurians,collybiopsis_luxurians_genomic.fna,collybiopsis_luxurians_cds.fna,collybiopsis_luxurians,ncbi
annulohypoxylon_bovei,annulohypoxylon_bovei_genomic.fna,annulohypoxylon_bovei_cds.fna,annulohypoxylon_bovei,ncbi
guyanagaster_necrorhizus,guyanagaster_necrorhizus_genomic.fna,guyanagaster_necrorhizus_cds.fna,guyanagaster_necrorhizus,ncbi
orbilia_oligospora,orbilia_oligospora_genomic.fna,orbilia_oligospora_cds.fna,orbilia_oligospora,ncbi
hydnum_rufescens,hydnum_rufescens_genomic.fna,hydnum_rufescens_cds.fna,hydnum_rufescens,ncbi
fusarium_vanettenii,fusarium_vanettenii_genomic.fna,fusarium_vanettenii_cds.fna,fusarium_vanettenii,ncbi
fusarium_odoratissimum,fusarium_odoratissimum_genomic.fna,fusarium_odoratissimum_cds.fna,fusarium_odoratissimum,ncbi
akanthomyces_lecanii,akanthomyces_lecanii_genomic.fna,akanthomyces_lecanii_cds.fna,akanthomyces_lecanii,ncbi
suillus_brevipes,suillus_brevipes_genomic.fna,suillus_brevipes_cds.fna,suillus_brevipes,ncbi
plenodomus_tracheiphilus,plenodomus_tracheiphilus_genomic.fna,plenodomus_tracheiphilus_cds.fna,plenodomus_tracheiphilus,ncbi
massarina_eburnea,massarina_eburnea_genomic.fna,massarina_eburnea_cds.fna,massarina_eburnea,ncbi
karstenula_rhodostoma,karstenula_rhodostoma_genomic.fna,karstenula_rhodostoma_cds.fna,karstenula_rhodostoma,ncbi
delitschia_confertaspora,delitschia_confertaspora_genomic.fna,delitschia_confertaspora_cds.fna,delitschia_confertaspora,ncbi
bimuria_novae,bimuria_novae_zelandiae_genomic.fna,bimuria_novae_zelandiae_cds.fna,bimuria_novae_zelandiae,ncbi
aaosphaeria_arxii,aaosphaeria_arxii_genomic.fna,aaosphaeria_arxii_cds.fna,aaosphaeria_arxii,ncbi
amniculicola_lignicola,amniculicola_lignicola_genomic.fna,amniculicola_lignicola_cds.fna,amniculicola_lignicola,ncbi
dothidotthia_symphoricarpi,dothidotthia_symphoricarpi_genomic.fna,dothidotthia_symphoricarpi_cds.fna,dothidotthia_symphoricarpi,ncbi
didymella_exigua,didymella_exigua_genomic.fna,didymella_exigua_cds.fna,didymella_exigua,ncbi
eremomyces_bilateralis,eremomyces_bilateralis_genomic.fna,eremomyces_bilateralis_cds.fna,eremomyces_bilateralis,ncbi
gymnopus_androsaceus,gymnopus_androsaceus_genomic.fna,gymnopus_androsaceus_cds.fna,gymnopus_androsaceus,ncbi
stipitochalara_longipes,stipitochalara_longipes_genomic.fna,stipitochalara_longipes_cds.fna,stipitochalara_longipes,ncbi
macrolepiota_fuliginosa,macrolepiota_fuliginosa_genomic.fna,macrolepiota_fuliginosa_cds.fna,macrolepiota_fuliginosa,ncbi
thermothielavioides_terrestris,thermothielavioides_terrestris_genomic.fna,thermothielavioides_terrestris_cds.fna,thermothielavioides_terrestris,ncbi
ascobolus_immersus,ascobolus_immersus_genomic.fna,ascobolus_immersus_cds.fna,ascobolus_immersus,ncbi
sodiomyces_alkalinus,sodiomyces_alkalinus_genomic.fna,sodiomyces_alkalinus_cds.fna,sodiomyces_alkalinus,ncbi
hyaloscypha_bicolor,hyaloscypha_bicolor_genomic.fna,hyaloscypha_bicolor_cds.fna,hyaloscypha_bicolor,ncbi
hyaloscypha_variabilis,hyaloscypha_variabilis_genomic.fna,hyaloscypha_variabilis_cds.fna,hyaloscypha_variabilis,ncbi
yamadazyma_tenuis,yamadazyma_tenuis_genomic.fna,yamadazyma_tenuis_cds.fna,yamadazyma_tenuis,ncbi
aspergillus_phoenicis,aspergillus_phoenicis_genomic.fna,aspergillus_phoenicis_cds.fna,aspergillus_phoenicis,ncbi
pyrrhoderma_noxium,pyrrhoderma_noxium_genomic.fna,pyrrhoderma_noxium_cds.fna,pyrrhoderma_noxium,ncbi
aspergillus_homomorphus,aspergillus_homomorphus_genomic.fna,aspergillus_homomorphus_cds.fna,aspergillus_homomorphus,ncbi
aspergillus_ibericus,aspergillus_ibericus_genomic.fna,aspergillus_ibericus_cds.fna,aspergillus_ibericus,ncbi
aspergillus_costaricensis,aspergillus_costaricensis_genomic.fna,aspergillus_costaricensis_cds.fna,aspergillus_costaricensis,ncbi
aspergillus_fijiensis,aspergillus_fijiensis_genomic.fna,aspergillus_fijiensis_cds.fna,aspergillus_fijiensis,ncbi
aspergillus_japonicus,aspergillus_japonicus_genomic.fna,aspergillus_japonicus_cds.fna,aspergillus_japonicus,ncbi
aspergillus_aculeatinus,aspergillus_aculeatinus_genomic.fna,aspergillus_aculeatinus_cds.fna,aspergillus_aculeatinus,ncbi
aspergillus_piperis,aspergillus_piperis_genomic.fna,aspergillus_piperis_cds.fna,aspergillus_piperis,ncbi
aspergillus_brunneoviolaceus,aspergillus_brunneoviolaceus_genomic.fna,aspergillus_brunneoviolaceus_cds.fna,aspergillus_brunneoviolaceus,ncbi
aspergillus_violaceofuscus,aspergillus_violaceofuscus_genomic.fna,aspergillus_violaceofuscus_cds.fna,aspergillus_violaceofuscus,ncbi
aspergillus_indologenus,aspergillus_indologenus_genomic.fna,aspergillus_indologenus_cds.fna,aspergillus_indologenus,ncbi
aspergillus_sclerotiicarbonarius,aspergillus_sclerotiicarbonarius_genomic.fna,aspergillus_sclerotiicarbonarius_cds.fna,aspergillus_sclerotiicarbonarius,ncbi
aspergillus_ellipticus,aspergillus_ellipticus_genomic.fna,aspergillus_ellipticus_cds.fna,aspergillus_ellipticus,ncbi
aspergillus_uvarum,aspergillus_uvarum_genomic.fna,aspergillus_uvarum_cds.fna,aspergillus_uvarum,ncbi
aspergillus_neoniger,aspergillus_neoniger_genomic.fna,aspergillus_neoniger_cds.fna,aspergillus_neoniger,ncbi
aspergillus_saccharolyticus,aspergillus_saccharolyticus_genomic.fna,aspergillus_saccharolyticus_cds.fna,aspergillus_saccharolyticus,ncbi
aspergillus_vadensis,aspergillus_vadensis_genomic.fna,aspergillus_vadensis_cds.fna,aspergillus_vadensis,ncbi
polytolypa_hystricis,polytolypa_hystricis_genomic.fna,polytolypa_hystricis_cds.fna,polytolypa_hystricis,ncbi
helicocarpus_griseus,helicocarpus_griseus_genomic.fna,helicocarpus_griseus_cds.fna,helicocarpus_griseus,ncbi
trametes_coccinea,trametes_coccinea_genomic.fna,trametes_coccinea_cds.fna,trametes_coccinea,ncbi
emergomyces_pasteurianus,emergomyces_pasteurianus_genomic.fna,emergomyces_pasteurianus_cds.fna,emergomyces_pasteurianus,ncbi
gaeumannomyces_tritici,gaeumannomyces_tritici_genomic.fna,gaeumannomyces_tritici_cds.fna,gaeumannomyces_tritici,ncbi
coniochaeta_ligniaria,coniochaeta_ligniaria_genomic.fna,coniochaeta_ligniaria_cds.fna,coniochaeta_ligniaria,ncbi
amanita_brunnescens,amanita_brunnescens_genomic.fna,amanita_brunnescens_cds.fna,amanita_brunnescens,ncbi
amanita_polypyramis,amanita_polypyramis_genomic.fna,amanita_polypyramis_cds.fna,amanita_polypyramis,ncbi
amanita_inopinata,amanita_inopinata_genomic.fna,amanita_inopinata_cds.fna,amanita_inopinata,ncbi
pseudocercospora_fijiensis,pseudocercospora_fijiensis_genomic.fna,pseudocercospora_fijiensis_cds.fna,pseudocercospora_fijiensis,ncbi
metarhizium_rileyi,metarhizium_rileyi_genomic.fna,metarhizium_rileyi_cds.fna,metarhizium_rileyi,ncbi
calocera_cornea,calocera_cornea_genomic.fna,calocera_cornea_cds.fna,calocera_cornea,ncbi
ophiocordyceps_polyrhachis,ophiocordyceps_polyrhachis_furcata_genomic.fna,ophiocordyceps_polyrhachis_furcata_cds.fna,ophiocordyceps_polyrhachis_furcata,ncbi
blastomyces_gilchristii,blastomyces_gilchristii_genomic.fna,blastomyces_gilchristii_cds.fna,blastomyces_gilchristii,ncbi
baudoinia_panamericana,baudoinia_panamericana_genomic.fna,baudoinia_panamericana_cds.fna,baudoinia_panamericana,ncbi
wallemia_mellicola,wallemia_mellicola_genomic.fna,wallemia_mellicola_cds.fna,wallemia_mellicola,ncbi
amorphotheca_resinae,amorphotheca_resinae_genomic.fna,amorphotheca_resinae_cds.fna,amorphotheca_resinae,ncbi
fonsecaea_multimorphosa,fonsecaea_multimorphosa_genomic.fna,fonsecaea_multimorphosa_cds.fna,fonsecaea_multimorphosa,ncbi
rhinocladiella_mackenziei,rhinocladiella_mackenziei_genomic.fna,rhinocladiella_mackenziei_cds.fna,rhinocladiella_mackenziei,ncbi
cladophialophora_bantiana,cladophialophora_bantiana_genomic.fna,cladophialophora_bantiana_cds.fna,cladophialophora_bantiana,ncbi
fonsecaea_pedrosoi,fonsecaea_pedrosoi_genomic.fna,fonsecaea_pedrosoi_cds.fna,fonsecaea_pedrosoi,ncbi
tulasnella_calospora,tulasnella_calospora_genomic.fna,tulasnella_calospora_cds.fna,tulasnella_calospora,ncbi
paxillus_rubicundulus,paxillus_rubicundulus_genomic.fna,paxillus_rubicundulus_cds.fna,paxillus_rubicundulus,ncbi
aureobasidium_subglaciale,aureobasidium_subglaciale_genomic.fna,aureobasidium_subglaciale_cds.fna,aureobasidium_subglaciale,ncbi
aureobasidium_namibiae,aureobasidium_namibiae_genomic.fna,aureobasidium_namibiae_cds.fna,aureobasidium_namibiae,ncbi
aureobasidium_melanogenum,aureobasidium_melanogenum_genomic.fna,aureobasidium_melanogenum_cds.fna,aureobasidium_melanogenum,ncbi
aspergillus_ruber,aspergillus_ruber_genomic.fna,aspergillus_ruber_cds.fna,aspergillus_ruber,ncbi
kalmanozyma_brasiliensis,kalmanozyma_brasiliensis_genomic.fna,kalmanozyma_brasiliensis_cds.fna,kalmanozyma_brasiliensis,ncbi
phaeomoniella_chlamydospora,phaeomoniella_chlamydospora_genomic.fna,phaeomoniella_chlamydospora_cds.fna,phaeomoniella_chlamydospora,ncbi
kuraishia_capsulata,kuraishia_capsulata_genomic.fna,kuraishia_capsulata_cds.fna,kuraishia_capsulata,ncbi
pseudozyma_flocculosa,pseudozyma_flocculosa_genomic.fna,pseudozyma_flocculosa_cds.fna,pseudozyma_flocculosa,ncbi
penicillium_roqueforti,penicillium_roqueforti_genomic.fna,penicillium_roqueforti_cds.fna,penicillium_roqueforti,ncbi
endocarpon_pusillum,endocarpon_pusillum_genomic.fna,endocarpon_pusillum_cds.fna,endocarpon_pusillum,ncbi
sclerotinia_borealis,sclerotinia_borealis_genomic.fna,sclerotinia_borealis_cds.fna,sclerotinia_borealis,ncbi
hapsidospora_chrysogena,hapsidospora_chrysogena_genomic.fna,hapsidospora_chrysogena_cds.fna,hapsidospora_chrysogena,ncbi
verticillium_alfalfae,verticillium_alfalfae_genomic.fna,verticillium_alfalfae_cds.fna,verticillium_alfalfae,ncbi
metschnikowia_bicuspidata,metschnikowia_bicuspidata_genomic.fna,metschnikowia_bicuspidata_cds.fna,metschnikowia_bicuspidata,ncbi
patellaria_atrata,patellaria_atrata_genomic.fna,patellaria_atrata_cds.fna,patellaria_atrata,ncbi
ascoidea_rubescens,ascoidea_rubescens_genomic.fna,ascoidea_rubescens_cds.fna,ascoidea_rubescens,ncbi
gonapodya_prolifera,gonapodya_prolifera_genomic.fna,gonapodya_prolifera_cds.fna,gonapodya_prolifera,ncbi
candida_arabinofermentans,candida_arabinofermentans_genomic.fna,candida_arabinofermentans_cds.fna,candida_arabinofermentans,ncbi
suhomyces_tanzawaensis,suhomyces_tanzawaensis_genomic.fna,suhomyces_tanzawaensis_cds.fna,suhomyces_tanzawaensis,ncbi
trichoderma_asperellum,trichoderma_asperellum_genomic.fna,trichoderma_asperellum_cds.fna,trichoderma_asperellum,ncbi
suillus_luteus,suillus_luteus_genomic.fna,suillus_luteus_cds.fna,suillus_luteus,ncbi
hydnomerulius_pinastri,hydnomerulius_pinastri_genomic.fna,hydnomerulius_pinastri_cds.fna,hydnomerulius_pinastri,ncbi
phlebiopsis_gigantea,phlebiopsis_gigantea_genomic.fna,phlebiopsis_gigantea_cds.fna,phlebiopsis_gigantea,ncbi
sphaerobolus_stellatus,sphaerobolus_stellatus_genomic.fna,sphaerobolus_stellatus_cds.fna,sphaerobolus_stellatus,ncbi
babjeviella_inositovora,babjeviella_inositovora_genomic.fna,babjeviella_inositovora_cds.fna,babjeviella_inositovora,ncbi
hyphopichia_burtonii,hyphopichia_burtonii_genomic.fna,hyphopichia_burtonii_cds.fna,hyphopichia_burtonii,ncbi
hebeloma_cylindrosporum,hebeloma_cylindrosporum_genomic.fna,hebeloma_cylindrosporum_cds.fna,hebeloma_cylindrosporum,ncbi
plicaturopsis_crispa,plicaturopsis_crispa_genomic.fna,plicaturopsis_crispa_cds.fna,plicaturopsis_crispa,ncbi
zasmidium_cellare,zasmidium_cellare_genomic.fna,zasmidium_cellare_cds.fna,zasmidium_cellare,ncbi
rhizopogon_salebrosus,rhizopogon_salebrosus_genomic.fna,rhizopogon_salebrosus_cds.fna,rhizopogon_salebrosus,ncbi
aspergillus_brasiliensis,aspergillus_brasiliensis_genomic.fna,aspergillus_brasiliensis_cds.fna,aspergillus_brasiliensis,ncbi
aspergillus_sydowii,aspergillus_sydowii_genomic.fna,aspergillus_sydowii_cds.fna,aspergillus_sydowii,ncbi
penicilliopsis_zonata,penicilliopsis_zonata_genomic.fna,penicilliopsis_zonata_cds.fna,penicilliopsis_zonata,ncbi
aspergillus_versicolor,aspergillus_versicolor_genomic.fna,aspergillus_versicolor_cds.fna,aspergillus_versicolor,ncbi
jaapia_argillacea,jaapia_argillacea_genomic.fna,jaapia_argillacea_cds.fna,jaapia_argillacea,ncbi
aspergillus_tubingensis,aspergillus_tubingensis_genomic.fna,aspergillus_tubingensis_cds.fna,aspergillus_tubingensis,ncbi
ophiostoma_piceae,ophiostoma_piceae_genomic.fna,ophiostoma_piceae_cds.fna,ophiostoma_piceae,ncbi
sporormia_fimetaria,sporormia_fimetaria_genomic.fna,sporormia_fimetaria_cds.fna,sporormia_fimetaria,ncbi
choiromyces_venosus,choiromyces_venosus_genomic.fna,choiromyces_venosus_cds.fna,choiromyces_venosus,ncbi
pseudozyma_hubeiensis,pseudozyma_hubeiensis_genomic.fna,pseudozyma_hubeiensis_cds.fna,pseudozyma_hubeiensis,ncbi
sistotremastrum_niveocremeum,sistotremastrum_niveocremeum_genomic.fna,sistotremastrum_niveocremeum_cds.fna,sistotremastrum_niveocremeum,ncbi
aplosporella_prunicola,aplosporella_prunicola_genomic.fna,aplosporella_prunicola_cds.fna,aplosporella_prunicola,ncbi
calocera_viscosa,calocera_viscosa_genomic.fna,calocera_viscosa_cds.fna,calocera_viscosa,ncbi
xylona_heveae,xylona_heveae_genomic.fna,xylona_heveae_cds.fna,xylona_heveae,ncbi
marasmius_fiardii,marasmius_fiardii_genomic.fna,marasmius_fiardii_cds.fna,marasmius_fiardii,ncbi
terfezia_boudieri,terfezia_boudieri_genomic.fna,terfezia_boudieri_cds.fna,terfezia_boudieri,ncbi
cryptococcus_wingfieldii,cryptococcus_wingfieldii_genomic.fna,cryptococcus_wingfieldii_cds.fna,cryptococcus_wingfieldii,ncbi
melanomma_pulvis,melanomma_pulvis_pyrius_genomic.fna,melanomma_pulvis_pyrius_cds.fna,melanomma_pulvis_pyrius,ncbi
pleomassaria_siparia,pleomassaria_siparia_genomic.fna,pleomassaria_siparia_cds.fna,pleomassaria_siparia,ncbi
rhizopogon_vinicolor,rhizopogon_vinicolor_genomic.fna,rhizopogon_vinicolor_cds.fna,rhizopogon_vinicolor,ncbi
neoconidiobolus_thromboides,neoconidiobolus_thromboides_genomic.fna,neoconidiobolus_thromboides_cds.fna,neoconidiobolus_thromboides,ncbi
backusella_circina,backusella_circina_genomic.fna,backusella_circina_cds.fna,backusella_circina,ncbi
lichtheimia_hyalospora,lichtheimia_hyalospora_genomic.fna,lichtheimia_hyalospora_cds.fna,lichtheimia_hyalospora,ncbi
lophiostoma_macrostomum,lophiostoma_macrostomum_genomic.fna,lophiostoma_macrostomum_cds.fna,lophiostoma_macrostomum,ncbi
saccharata_proteae,saccharata_proteae_genomic.fna,saccharata_proteae_cds.fna,saccharata_proteae,ncbi
dissoconium_aciculare,dissoconium_aciculare_genomic.fna,dissoconium_aciculare_cds.fna,dissoconium_aciculare,ncbi
vararia_minispora,vararia_minispora_genomic.fna,vararia_minispora_cds.fna,vararia_minispora,ncbi
laetiporus_sulphureus,laetiporus_sulphureus_genomic.fna,laetiporus_sulphureus_cds.fna,laetiporus_sulphureus,ncbi
panus_rudis,panus_rudis_genomic.fna,panus_rudis_cds.fna,panus_rudis,ncbi
daedalea_quercina,daedalea_quercina_genomic.fna,daedalea_quercina_cds.fna,daedalea_quercina,ncbi
neolentinus_lepideus,neolentinus_lepideus_genomic.fna,neolentinus_lepideus_cds.fna,neolentinus_lepideus,ncbi
exidia_glandulosa,exidia_glandulosa_genomic.fna,exidia_glandulosa_cds.fna,exidia_glandulosa,ncbi
piedraia_hortae,piedraia_hortae_genomic.fna,piedraia_hortae_cds.fna,piedraia_hortae,ncbi
zopfia_rhizophila,zopfia_rhizophila_genomic.fna,zopfia_rhizophila_cds.fna,zopfia_rhizophila,ncbi
polyporus_arcularius,polyporus_arcularius_genomic.fna,polyporus_arcularius_cds.fna,polyporus_arcularius,ncbi
sistotremastrum_suecicum,sistotremastrum_suecicum_genomic.fna,sistotremastrum_suecicum_cds.fna,sistotremastrum_suecicum,ncbi
