"GFF Download Link","Organellar genome(s)","VEuPathDB Project","Chromosomes","Supercontigs","Contigs","Available for community annotation","Genome Source","Genome Version/Assembly ID","Mega base Pairs","Structural Annotation Source","Structural Annotation Version","Is Reference Strain","Organism","Species","Species NCBI taxon ID","Strain","Strain NCBI taxon ID","Genome Fasta Download Link","Protein Fasta Download Link","ChIP chip","EC#","ESTs","Genes","GO terms","Microarray","Non Protein coding genes","Orthologs","Popset Sequences","Protein coding genes","Proteomics","Pseudogenes","RNA Seq","RT-PCR","SNPs","TFBS","User comments"
"http://FungiDB.org/common/downloads/Current_Release/Foxysporum26406/gff/data/FungiDB-64_Foxysporum26406.gff","no","FungiDB","0","1146","0","N/A","GenBank","GCA_000260495.2","   54.03","GenBank","Dec 24, 2017","no","Fusarium oxysporum f. sp. melonis 26406","Fusarium oxysporum","5507","f. sp. melonis 26406","1089452","http://FungiDB.org/common/downloads/Current_Release/Foxysporum26406/fasta/data/FungiDB-64_Foxysporum26406_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/Foxysporum26406/fasta/data/FungiDB-64_Foxysporum26406_AnnotatedProteins.fasta","N/A","1823","2692","20033","11249","N/A","372","19661","120433","19661","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PsojaeP6497/gff/data/FungiDB-64_PsojaeP6497.gff","no","FungiDB","0","82","0","Apollo","GenBank","GCA_000149755.2","   82.60","GenBank","Mar 14, 2015","yes","Phytophthora sojae strain P6497","Phytophthora sojae","67593","strain P6497","1094619","http://FungiDB.org/common/downloads/Current_Release/PsojaeP6497/fasta/data/FungiDB-64_PsojaeP6497_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PsojaeP6497/fasta/data/FungiDB-64_PsojaeP6497_AnnotatedProteins.fasta","N/A","1551","N/A","28142","9258","N/A","1653","26489","85337","26489","N/A","3","28142","N/A","N/A","N/A","14"
"http://FungiDB.org/common/downloads/Current_Release/TdeformansPYCC5710/gff/data/FungiDB-64_TdeformansPYCC5710.gff","yes","FungiDB","0","394","0","Apollo","INSDC","GCA_000312925.2","   13.39","GenBank","May 01, 2013","yes","Taphrina deformans PYCC 5710","Taphrina deformans","5011","PYCC 5710","1097556","http://FungiDB.org/common/downloads/Current_Release/TdeformansPYCC5710/fasta/data/FungiDB-64_TdeformansPYCC5710_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/TdeformansPYCC5710/fasta/data/FungiDB-64_TdeformansPYCC5710_AnnotatedProteins.fasta","N/A","590","711","4680","3482","N/A","17","4663","390","4663","N/A","7","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/Cpurpurea20.1/gff/data/FungiDB-64_Cpurpurea20.1.gff","no","FungiDB","0","191","0","Apollo","INSDC","GCA_000347355.1","   32.09","GenBank","2013-04-15","yes","Claviceps purpurea 20.1","Claviceps purpurea","5111","20.1","1111077","http://FungiDB.org/common/downloads/Current_Release/Cpurpurea20.1/fasta/data/FungiDB-64_Cpurpurea20.1_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/Cpurpurea20.1/fasta/data/FungiDB-64_Cpurpurea20.1_AnnotatedProteins.fasta","N/A","916","2637","8979","5729","N/A","156","8823","5828","8823","N/A","45","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/MphaseolinaMS6/gff/data/FungiDB-64_MphaseolinaMS6.gff","no","FungiDB","0","1506","0","Apollo","INSDC","GCA_000302655.1","   48.88","GenBank","Oct 03, 2012","yes","Macrophomina phaseolina MS6","Macrophomina phaseolina","35725","MS6","1126212","http://FungiDB.org/common/downloads/Current_Release/MphaseolinaMS6/fasta/data/FungiDB-64_MphaseolinaMS6_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/MphaseolinaMS6/fasta/data/FungiDB-64_MphaseolinaMS6_AnnotatedProteins.fasta","N/A","1076","13","14712","8620","N/A","906","13806","1359","13806","N/A","453","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PostreatusPC15/gff/data/FungiDB-64_PostreatusPC15.gff","no","FungiDB","0","12","0","Apollo","INSDC","GCA_000697685.1","   34.34","GenBank","2014-06-05","yes","Pleurotus ostreatus PC15","Pleurotus ostreatus","5322","PC15","1137138","http://FungiDB.org/common/downloads/Current_Release/PostreatusPC15/fasta/data/FungiDB-64_PostreatusPC15_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PostreatusPC15/fasta/data/FungiDB-64_PostreatusPC15_AnnotatedProteins.fasta","N/A","1007","4953","12460","7248","N/A","164","12296","11170","12296","N/A","3","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PostreatusPC9/gff/data/FungiDB-64_PostreatusPC9.gff","yes","FungiDB","0","16","0","N/A","INSDC","GCF_014466165.1","   34.97","RefSeq","Oct 28, 2020","no","Pleurotus ostreatus PC9","Pleurotus ostreatus","5322","PC9","1137139","http://FungiDB.org/common/downloads/Current_Release/PostreatusPC9/fasta/data/FungiDB-64_PostreatusPC9_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PostreatusPC9/fasta/data/FungiDB-64_PostreatusPC9_AnnotatedProteins.fasta","N/A","1036","4830","11897","7314","N/A","186","11711","8880","11711","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/AluchuensisCBS106.47/gff/data/FungiDB-64_AluchuensisCBS106.47.gff","no","FungiDB","0","100","0","Apollo","GenBank","GCA_001890685.1","   37.45","GenBank","Dec 12, 2016","yes","Aspergillus luchuensis CBS 106.47","Aspergillus luchuensis","1069201","CBS 106.47","1137211","http://FungiDB.org/common/downloads/Current_Release/AluchuensisCBS106.47/fasta/data/FungiDB-64_AluchuensisCBS106.47_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/AluchuensisCBS106.47/fasta/data/FungiDB-64_AluchuensisCBS106.47_AnnotatedProteins.fasta","N/A","1505","N/A","13784","8661","N/A","282","13502","49263","13502","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/SdiclinaVS20/gff/data/FungiDB-64_SdiclinaVS20.gff","no","FungiDB","0","390","0","Apollo","GenBank","GCA_000281045.1","   62.89","GenBank","Mar 19, 2015","yes","Saprolegnia diclina VS20","Saprolegnia diclina","112098","VS20","1156394","http://FungiDB.org/common/downloads/Current_Release/SdiclinaVS20/fasta/data/FungiDB-64_SdiclinaVS20_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/SdiclinaVS20/fasta/data/FungiDB-64_SdiclinaVS20_AnnotatedProteins.fasta","N/A","1364","N/A","17448","11145","N/A","89","17359","1328","17359","N/A","0","N/A","N/A","N/A","N/A","2"
"http://FungiDB.org/common/downloads/Current_Release/HwerneckiiEXF-2000/gff/data/FungiDB-64_HwerneckiiEXF-2000.gff","yes","FungiDB","0","628","0","Apollo","INSDC","GCA_002127715.1","   49.78","GenBank","May 11, 2017","yes","Hortaea werneckii EXF-2000","Hortaea werneckii","91943","EXF-2000","1157616","http://FungiDB.org/common/downloads/Current_Release/HwerneckiiEXF-2000/fasta/data/FungiDB-64_HwerneckiiEXF-2000_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/HwerneckiiEXF-2000/fasta/data/FungiDB-64_HwerneckiiEXF-2000_AnnotatedProteins.fasta","N/A","1776","122","15649","11803","N/A","29","15620","98","15620","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/AglaucusCBS516.65/gff/data/FungiDB-64_AglaucusCBS516.65.gff","no","FungiDB","0","82","0","Apollo","GenBank","GCA_001890805.1","   27.99","GenBank","Dec 12, 2016","yes","Aspergillus glaucus CBS 516.65","Aspergillus glaucus","41413","CBS 516.65","1160497","http://FungiDB.org/common/downloads/Current_Release/AglaucusCBS516.65/fasta/data/FungiDB-64_AglaucusCBS516.65_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/AglaucusCBS516.65/fasta/data/FungiDB-64_AglaucusCBS516.65_AnnotatedProteins.fasta","N/A","1341","N/A","11429","7365","N/A","175","11254","44603","11254","N/A","0","N/A","N/A","N/A","N/A","1"
"http://FungiDB.org/common/downloads/Current_Release/CpsammophilaCBS110553/gff/data/FungiDB-64_CpsammophilaCBS110553.gff","no","FungiDB","0","123","0","Apollo","INSDC","GCA_000585535.1","   39.42","GenBank","Mar 05, 2014","yes","Cladophialophora psammophila CBS 110553","Cladophialophora psammophila","1182553","CBS 110553","1182543","http://FungiDB.org/common/downloads/Current_Release/CpsammophilaCBS110553/fasta/data/FungiDB-64_CpsammophilaCBS110553_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/CpsammophilaCBS110553/fasta/data/FungiDB-64_CpsammophilaCBS110553_AnnotatedProteins.fasta","N/A","1053","N/A","13421","9325","N/A","0","13421","154","13421","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/CyegresiiCBS114405/gff/data/FungiDB-64_CyegresiiCBS114405.gff","no","FungiDB","0","8","0","Apollo","INSDC","GCA_000585515.1","   27.90","GenBank","Mar 05, 2014","yes","Cladophialophora yegresii CBS 114405","Cladophialophora yegresii","470704","CBS 114405","1182544","http://FungiDB.org/common/downloads/Current_Release/CyegresiiCBS114405/fasta/data/FungiDB-64_CyegresiiCBS114405_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/CyegresiiCBS114405/fasta/data/FungiDB-64_CyegresiiCBS114405_AnnotatedProteins.fasta","N/A","972","N/A","10118","6996","N/A","0","10118","157","10118","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/EaquamarinaCBS119918/gff/data/FungiDB-64_EaquamarinaCBS119918.gff","no","FungiDB","0","151","0","Apollo","INSDC","GCA_000709125.1","   41.57","GenBank","Jun 16, 2014","yes","Exophiala aquamarina CBS 119918","Exophiala aquamarina","1033840","CBS 119918","1182545","http://FungiDB.org/common/downloads/Current_Release/EaquamarinaCBS119918/fasta/data/FungiDB-64_EaquamarinaCBS119918_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/EaquamarinaCBS119918/fasta/data/FungiDB-64_EaquamarinaCBS119918_AnnotatedProteins.fasta","N/A","1073","N/A","13118","9403","N/A","0","13118","493","13118","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/TasahiiCBS2479/gff/data/FungiDB-64_TasahiiCBS2479.gff","yes","FungiDB","0","77","0","Apollo","INSDC","GCA_000293215.1","   24.54","GenBank","Mar 19, 2015","yes","Trichosporon asahii var. asahii CBS 2479","Trichosporon asahii","82508","var. asahii CBS 2479","1186058","http://FungiDB.org/common/downloads/Current_Release/TasahiiCBS2479/fasta/data/FungiDB-64_TasahiiCBS2479_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/TasahiiCBS2479/fasta/data/FungiDB-64_TasahiiCBS2479_AnnotatedProteins.fasta","N/A","676","N/A","8834","4997","N/A","523","8311","181","8311","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/VdahliaeJR2/gff/data/FungiDB-64_VdahliaeJR2.gff","no","FungiDB","8","0","0","Apollo","INSDC","GCA_000400815.2","   36.15","Ensembl","Aug 29, 2014","yes","Verticillium dahliae JR2","Verticillium dahliae","27337","JR2","1202531","http://FungiDB.org/common/downloads/Current_Release/VdahliaeJR2/fasta/data/FungiDB-64_VdahliaeJR2_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/VdahliaeJR2/fasta/data/FungiDB-64_VdahliaeJR2_AnnotatedProteins.fasta","N/A","N/A","1418","11637","5901","N/A","211","11391","11333","11426","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PjiroveciiSE8/gff/data/FungiDB-64_PjiroveciiSE8.gff","yes","FungiDB","0","328","0","Apollo","GenBank","GCA_000333975.2","    8.12","GenBank","Dec 13, 2012","yes","Pneumocystis jirovecii SE8","Pneumocystis jirovecii","42068","SE8","1209962","http://FungiDB.org/common/downloads/Current_Release/PjiroveciiSE8/fasta/data/FungiDB-64_PjiroveciiSE8_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PjiroveciiSE8/fasta/data/FungiDB-64_PjiroveciiSE8_AnnotatedProteins.fasta","N/A","544","N/A","3752","2712","N/A","217","3535","9267","3535","N/A","0","N/A","N/A","634","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/CeuropaeaCBS101466/gff/data/FungiDB-64_CeuropaeaCBS101466.gff","no","FungiDB","0","19","0","Apollo","GenBank","GCA_000365145.2","   28.78","GenBank","Mar 21, 2015","yes","Cyphellophora europaea CBS 101466","Cyphellophora europaea","293227","CBS 101466","1220924","http://FungiDB.org/common/downloads/Current_Release/CeuropaeaCBS101466/fasta/data/FungiDB-64_CeuropaeaCBS101466_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/CeuropaeaCBS101466/fasta/data/FungiDB-64_CeuropaeaCBS101466_AnnotatedProteins.fasta","N/A","1361","N/A","11153","7701","N/A","59","11094","160","11094","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/Mcircinelloides1006PhL/gff/data/FungiDB-64_Mcircinelloides1006PhL.gff","no","FungiDB","0","470","0","Apollo","GenBank","GCA_000401635.1","   36.35","GenBank","Mar 22, 2015","yes","Mucor circinelloides 1006PhL","Mucor circinelloides","36080","1006PhL","1220926","http://FungiDB.org/common/downloads/Current_Release/Mcircinelloides1006PhL/fasta/data/FungiDB-64_Mcircinelloides1006PhL_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/Mcircinelloides1006PhL/fasta/data/FungiDB-64_Mcircinelloides1006PhL_AnnotatedProteins.fasta","N/A","1423","2090","12410","8319","N/A","183","12227","1193","12227","N/A","2","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PaphanidermatumDAOMBR444/gff/data/FungiDB-64_PaphanidermatumDAOMBR444.gff","no","FungiDB","0","1774","0","Apollo","GenBank","GCA_000387445.2","   35.88","Ensembl","Mar 02, 2016","yes","Pythium aphanidermatum DAOM BR444","Pythium aphanidermatum","65070","DAOM BR444","1223555","http://FungiDB.org/common/downloads/Current_Release/PaphanidermatumDAOMBR444/fasta/data/FungiDB-64_PaphanidermatumDAOMBR444_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PaphanidermatumDAOMBR444/fasta/data/FungiDB-64_PaphanidermatumDAOMBR444_AnnotatedProteins.fasta","N/A","749","N/A","12363","6409","N/A","58","12305","5220","12305","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/ParrhenomanesATCC12531/gff/data/FungiDB-64_ParrhenomanesATCC12531.gff","no","FungiDB","0","10972","0","Apollo","GenBank","GCA_000387505.2","   44.67","Ensembl","Mar 02, 2016","yes","Pythium arrhenomanes ATCC 12531","Pythium arrhenomanes","82932","ATCC 12531","1223556","http://FungiDB.org/common/downloads/Current_Release/ParrhenomanesATCC12531/fasta/data/FungiDB-64_ParrhenomanesATCC12531_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/ParrhenomanesATCC12531/fasta/data/FungiDB-64_ParrhenomanesATCC12531_AnnotatedProteins.fasta","N/A","759","N/A","13857","6943","N/A","52","13805","566","13805","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/GirregulareDAOMBR486/gff/data/FungiDB-64_GirregulareDAOMBR486.gff","no","FungiDB","0","5887","0","Apollo","GenBank","GCA_000387425.2","   42.97","Ensembl","Mar 02, 2016","yes","Globisporangium irregulare DAOM BR486","Globisporangium irregulare","36331","DAOM BR486","1223557","http://FungiDB.org/common/downloads/Current_Release/GirregulareDAOMBR486/fasta/data/FungiDB-64_GirregulareDAOMBR486_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/GirregulareDAOMBR486/fasta/data/FungiDB-64_GirregulareDAOMBR486_AnnotatedProteins.fasta","N/A","774","N/A","13869","6997","N/A","65","13804","529","13804","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/GiwayamaeDAOMBR242034/gff/data/FungiDB-64_GiwayamaeDAOMBR242034.gff","no","FungiDB","0","11542","0","Apollo","GenBank","GCA_000387465.2","   43.20","MSU","2014-08-11","yes","Globisporangium iwayamae DAOM BR242034","Globisporangium iwayamae","115417","DAOM BR242034","1223558","http://FungiDB.org/common/downloads/Current_Release/GiwayamaeDAOMBR242034/fasta/data/FungiDB-64_GiwayamaeDAOMBR242034_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/GiwayamaeDAOMBR242034/fasta/data/FungiDB-64_GiwayamaeDAOMBR242034_AnnotatedProteins.fasta","N/A","754","N/A","14874","6977","N/A","0","14874","538","14874","N/A","0","N/A","N/A","N/A","N/A","1"
"http://FungiDB.org/common/downloads/Current_Release/GultimumBR650/gff/data/FungiDB-64_GultimumBR650.gff","no","FungiDB","0","5482","0","N/A","GenBank","GCA_000387525.2","   37.63","MSU","2014-08-11","no","Globisporangium ultimum var. sporangiiferum BR650","Globisporangium ultimum","2052682","var. sporangiiferum BR650","1223559","http://FungiDB.org/common/downloads/Current_Release/GultimumBR650/fasta/data/FungiDB-64_GultimumBR650_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/GultimumBR650/fasta/data/FungiDB-64_GultimumBR650_AnnotatedProteins.fasta","N/A","714","N/A","14086","6293","N/A","0","14086","503","14086","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PvexansDAOMBR484/gff/data/FungiDB-64_PvexansDAOMBR484.gff","no","FungiDB","0","3685","0","Apollo","GenBank","GCA_000387545.2","   33.84","MSU","2014-08-11","yes","Phytopythium vexans DAOM BR484","Phytopythium vexans","907947","DAOM BR484","1223560","http://FungiDB.org/common/downloads/Current_Release/PvexansDAOMBR484/fasta/data/FungiDB-64_PvexansDAOMBR484_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PvexansDAOMBR484/fasta/data/FungiDB-64_PvexansDAOMBR484_AnnotatedProteins.fasta","N/A","739","N/A","11991","6546","N/A","34","11957","152","11957","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/FproliferatumET1/gff/data/FungiDB-64_FproliferatumET1.gff","no","FungiDB","0","0","32","Apollo","GenBank","GCA_900067095.1","   45.21","GenBank","Dec 6, 2016","yes","Fusarium proliferatum ET1","Fusarium proliferatum","948311","ET1","1227346","http://FungiDB.org/common/downloads/Current_Release/FproliferatumET1/fasta/data/FungiDB-64_FproliferatumET1_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/FproliferatumET1/fasta/data/FungiDB-64_FproliferatumET1_AnnotatedProteins.fasta","N/A","1663","N/A","16509","10411","N/A","366","16143","117132","16143","N/A","0","16509","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/Foxysporumrace1/gff/data/FungiDB-64_Foxysporumrace1.gff","no","FungiDB","0","1341","0","N/A","GenBank","GCA_000350345.1","   47.66","GenBank","Mar 21, 2015","no","Fusarium oxysporum f. sp. cubense race 1","Fusarium oxysporum","5507","f. sp. cubense race 1","1229664","http://FungiDB.org/common/downloads/Current_Release/Foxysporumrace1/fasta/data/FungiDB-64_Foxysporumrace1_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/Foxysporumrace1/fasta/data/FungiDB-64_Foxysporumrace1_AnnotatedProteins.fasta","N/A","1604","1814","15626","10503","N/A","188","15438","114661","15438","N/A","188","15626","N/A","N/A","N/A","N/A"
